timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775716755.155013,0.1074,0.1482,0.1053,0.1418
1775716755.515743,0.101,0.1547,0.1053,0.1396
1775716755.876128,0.1031,0.1568,0.1053,0.1697
1775716756.2366452,0.1053,0.1482,0.1139,0.1654
1775716756.597226,0.0988,0.1504,0.1117,0.1418
1775716756.9578822,0.0988,0.1461,0.1096,0.1396
1775716757.318175,0.0988,0.1719,0.1053,0.1439
1775716757.6786702,0.0945,0.1676,0.1053,0.1418
1775716758.039346,0.0988,0.1547,0.1117,0.1332
1775716758.3998048,0.0902,0.1611,0.1053,0.1568
1775716758.760306,0.0967,0.1504,0.1053,0.1633
1775716759.120756,0.0967,0.1525,0.1096,0.1461
1775716759.4813309,0.0924,0.1504,0.1053,0.1461
1775716759.841901,0.0881,0.1719,0.101,0.1396
1775716760.20233,0.1031,0.1697,0.0988,0.1439
1775716760.562847,0.1031,0.3652,0.4469,0.4877
1775716760.922453,0.1096,0.5865,0.0816,0.5285
1775716761.282649,0.1053,0.5779,0.0816,0.5371
1775716761.642404,0.1246,0.5307,0.0408,0.5844
1775716762.002368,0.116,0.5307,0.0365,0.5371
1775716762.362293,0.1117,0.5607,0.0816,0.5779
1775716762.722323,0.1225,0.5307,0.0322,0.55
1775716763.0821068,0.0838,0.5844,0.0838,0.5285
1775716763.441994,0.1117,0.5586,0.0881,0.5844
1775716763.80185,0.1246,0.5307,0.0236,0.55
1775716764.162111,0.1182,0.5307,0.015,0.5629
1775716764.521944,0.0709,0.5822,0.0752,0.5285
1775716764.8817952,0.1225,0.5457,0.0881,0.5844
1775716765.241651,0.1182,0.5521,0.073,0.5285
1775716765.60165,0.1117,0.5693,0.0881,0.5779
1775716765.96157,0.1268,0.5307,0.0473,0.5844
1775716766.321492,0.1139,0.535,0.0473,0.55
1775716766.681451,0.0988,0.5865,0.0752,0.5307
1775716767.0413399,0.1268,0.5307,0.0301,0.5736
1775716767.401145,0.1139,0.5865,0.0881,0.535
1775716767.761025,0.1203,0.535,0.0902,0.5865
1775716768.121103,0.1311,0.5307,0.0666,0.5844
1775716768.481146,0.1203,0.5307,0.0344,0.5393
1775716768.840944,0.1096,0.5758,0.0838,0.5715
1775716769.200855,0.1246,0.5307,0.0451,0.5822
1775716769.560788,0.116,0.5736,0.0752,0.5285
1775716769.920736,0.1117,0.5607,0.0881,0.5801
1775716770.280673,0.1268,0.5307,0.0387,0.5844
1775716770.6405828,0.1139,0.5758,0.0816,0.5285
1775716771.000541,0.0945,0.2492,0.1031,0.2256
1775716771.361009,0.0967,0.1568,0.1031,0.1676
1775716771.721487,0.0945,0.1525,0.1053,0.1439
1775716772.0820448,0.0945,0.1525,0.1053,0.1461
1775716772.44254,0.0967,0.1568,0.1096,0.1418
1775716772.803113,0.1031,0.1762,0.101,0.1396
1775716773.1635368,0.101,0.1504,0.1031,0.1439
1775716773.5240152,0.1031,0.1525,0.0945,0.1482
1775716773.884576,0.1031,0.1439,0.1117,0.1676
1775716774.245196,0.1053,0.1482,0.1117,0.1396
1775716774.605632,0.1031,0.1461,0.1096,0.1439
1775716774.966205,0.1053,0.1396,0.1074,0.1396
1775716775.3267899,0.0967,0.1697,0.1074,0.1375
1775716775.687257,0.0967,0.159,0.1074,0.1354
1775716776.047721,0.0988,0.1504,0.1053,0.1654
1775716776.40821,0.0988,0.1525,0.1096,0.1461
1775716776.7687821,0.0988,0.1504,0.1096,0.1482
1775716777.129236,0.1031,0.174,0.1074,0.1418
1775716777.489661,0.0988,0.1525,0.1074,0.1375
1775716777.8500822,0.101,0.1504,0.1117,0.1676
1775716778.21062,0.1031,0.1504,0.1074,0.1439
1775716778.5710988,0.0924,0.1719,0.1074,0.1396
1775716778.931536,0.0945,0.1568,0.1117,0.1439
1775716779.291927,0.0988,0.1525,0.1053,0.1418
1775716779.652601,0.0967,0.1504,0.1053,0.1654
