timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775716703.981279,0.1031,0.1783,0.1074,0.2084
1775716704.3402472,0.101,0.1848,0.1053,0.1934
1775716704.700929,0.0988,0.1805,0.1074,0.1783
1775716705.061576,0.1053,0.1826,0.1031,0.1826
1775716705.422184,0.1096,0.1762,0.1031,0.202
1775716705.782707,0.1074,0.1783,0.101,0.1977
1775716706.143449,0.1053,0.174,0.1053,0.1955
1775716706.504107,0.1074,0.174,0.1053,0.1955
1775716706.864575,0.1117,0.1697,0.1031,0.1977
1775716707.225097,0.0988,0.1676,0.1053,0.1934
1775716707.5858061,0.0988,0.174,0.1031,0.1891
1775716707.946462,0.0988,0.1826,0.0988,0.1891
1775716708.307009,0.1053,0.1697,0.1074,0.1977
1775716708.667594,0.0945,0.1719,0.1031,0.1891
1775716709.028234,0.1053,0.174,0.1053,0.1848
1775716709.38886,0.1053,0.174,0.1053,0.1934
1775716709.7488582,0.101,0.5801,0.0881,0.5436
1775716710.108738,0.1268,0.5307,0.0301,0.5801
1775716710.468815,0.1246,0.5865,0.0838,0.5307
1775716710.8335738,0.1203,0.5307,0.058,0.5844
1775716711.188326,0.1096,0.5865,0.0859,0.5285
1775716711.548207,0.1225,0.535,0.0967,0.5865
1775716711.9081862,0.116,0.5436,0.0709,0.5285
1775716712.2681978,0.116,0.5586,0.0902,0.5844
1775716712.627892,0.1289,0.5307,0.0258,0.565
1775716712.9877849,0.0773,0.5865,0.073,0.5285
1775716713.347702,0.1182,0.5328,0.0537,0.5865
1775716713.707687,0.1246,0.5307,0.0193,0.5564
1775716714.067568,0.1225,0.5865,0.0752,0.5285
1775716714.4274108,0.1139,0.5328,0.0902,0.5865
1775716714.7874198,0.1246,0.5307,0.0666,0.5693
1775716715.1474292,0.1225,0.5865,0.0666,0.5285
1775716715.5072808,0.1139,0.5393,0.0902,0.5844
1775716715.867214,0.1246,0.5307,0.073,0.5586
1775716716.227123,0.116,0.5865,0.0795,0.5285
1775716716.587109,0.116,0.5564,0.0967,0.5844
1775716716.9470232,0.1268,0.5307,0.0623,0.5629
1775716717.3068428,0.1139,0.5865,0.0752,0.5285
1775716717.666906,0.1139,0.5307,0.0666,0.5865
1775716718.026776,0.1225,0.5393,0.0709,0.5371
1775716718.386709,0.1139,0.5822,0.0537,0.5393
1775716718.7464771,0.1246,0.5307,0.0559,0.5779
1775716719.106518,0.1225,0.5844,0.0881,0.5285
1775716719.466651,0.1096,0.3352,0.1354,0.2879
1775716719.827069,0.1053,0.1805,0.1074,0.1848
1775716720.1875231,0.1074,0.1826,0.1117,0.1762
1775716720.548183,0.1031,0.1869,0.1074,0.174
1775716720.908802,0.0945,0.1848,0.1053,0.174
1775716721.27213,0.0967,0.1783,0.1096,0.1719
1775716721.62995,0.1031,0.1826,0.1096,0.1805
1775716721.990483,0.0988,0.1848,0.1074,0.1611
1775716722.351097,0.1031,0.1848,0.1074,0.1676
1775716722.7118158,0.1053,0.1826,0.1074,0.1719
1775716723.072253,0.101,0.1805,0.0559,0.1848
1775716723.432768,0.1074,0.174,0.1096,0.1869
1775716723.793517,0.1031,0.1697,0.1096,0.1912
1775716724.1542022,0.1031,0.1719,0.101,0.1912
1775716724.514522,0.0967,0.1783,0.1074,0.1697
1775716724.875028,0.0967,0.1783,0.1053,0.1719
1775716725.235538,0.101,0.1719,0.1096,0.174
1775716725.596172,0.0988,0.1912,0.1117,0.1676
1775716725.956701,0.0988,0.1977,0.1053,0.1654
1775716726.317229,0.0988,0.1998,0.1096,0.1676
1775716726.67779,0.101,0.1783,0.1074,0.174
1775716727.038271,0.0988,0.1697,0.1074,0.174
1775716727.398667,0.1031,0.1697,0.1074,0.1719
1775716727.759098,0.1031,0.1998,0.1031,0.1654
1775716728.119683,0.1053,0.174,0.1053,0.1633
1775716728.480182,0.1053,0.1762,0.1074,0.1848
1775716728.840768,0.1053,0.1762,0.1053,0.1848
1775716729.2012851,0.1053,0.1805,0.1053,0.1934
