timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775716014.997011,0.1053,0.1762,0.0988,0.174
1775716015.3574579,0.1031,0.202,0.1031,0.1697
1775716015.7180989,0.1074,0.2041,0.0988,0.1676
1775716016.078593,0.1074,0.1826,0.1031,0.1697
1775716016.4390242,0.1074,0.174,0.1096,0.202
1775716016.7993448,0.1031,0.1719,0.1074,0.1697
1775716017.1599271,0.0924,0.202,0.1096,0.174
1775716017.520571,0.0988,0.2041,0.1074,0.1719
1775716017.8809888,0.101,0.1805,0.1074,0.174
1775716018.24158,0.101,0.1805,0.1096,0.1719
1775716018.60192,0.1053,0.1783,0.1031,0.1955
1775716018.962472,0.0988,0.1762,0.101,0.1805
1775716019.3230011,0.101,0.1783,0.1074,0.202
1775716019.6829069,0.101,0.1977,0.1053,0.1697
1775716020.0431502,0.1031,0.1805,0.1053,0.1762
1775716020.403202,0.4662,0.5307,0.0881,0.5328
1775716020.762839,0.4791,0.5564,0.0215,0.5307
1775716021.1219258,0.1074,0.4555,0.0881,0.5865
1775716021.481637,0.1182,0.4727,0.0559,0.5865
1775716021.841336,0.1525,0.4254,0.0494,0.5865
1775716022.201132,0.4813,0.5479,0.0365,0.5307
1775716022.560683,0.4791,0.5307,0.0752,0.535
1775716022.9200609,0.434,0.376,0.0859,0.535
1775716023.279627,0.3932,0.2943,0.0881,0.5758
1775716023.639314,0.2664,0.3738,0.0537,0.5865
1775716023.998954,0.5006,0.5887,0.0838,0.5285
1775716024.358298,0.4318,0.2965,0.0859,0.5521
1775716024.71806,0.4297,0.3137,0.0881,0.5586
1775716025.077641,0.492,0.593,0.0816,0.5285
1775716025.437367,0.5006,0.5887,0.0838,0.5285
1775716025.7968042,0.5006,0.5865,0.0859,0.5285
1775716026.156374,0.4791,0.5457,0.0365,0.5307
1775716026.5159721,0.4984,0.5736,0.073,0.5285
1775716026.875689,0.477,0.5307,0.0816,0.5328
1775716027.235915,0.4662,0.5285,0.0773,0.5672
1775716027.594839,0.4684,0.5307,0.0902,0.5629
1775716027.954452,0.4662,0.5307,0.0945,0.5844
1775716028.314108,0.4018,0.5307,0.0924,0.5865
1775716028.673866,0.2191,0.5414,0.0902,0.5865
1775716029.033505,0.1676,0.5887,0.0795,0.5307
1775716029.393109,0.0838,0.4877,0.0537,0.5285
1775716029.7528698,0.101,0.4705,0.0645,0.5715
1775716030.112604,0.101,0.4619,0.0795,0.5865
1775716030.4722402,0.2879,0.3609,0.0816,0.5865
1775716030.831779,0.1053,0.6295,0.3652,0.3545
1775716031.192012,0.0988,0.3373,0.1139,0.3523
1775716031.552049,0.0988,0.391,0.1117,0.3545
1775716031.912232,0.1031,0.3867,0.1096,0.3502
1775716032.272191,0.0924,0.1697,0.1096,0.1783
1775716032.632467,0.0988,0.1783,0.1074,0.1826
1775716032.992821,0.1074,0.1762,0.1053,0.174
1775716033.35315,0.0945,0.1805,0.1074,0.1826
1775716033.713446,0.1053,0.1869,0.1096,0.1762
1775716034.073697,0.1031,0.1697,0.1074,0.1697
1775716034.4340281,0.1031,0.1891,0.1053,0.1977
1775716034.794375,0.1203,0.5801,0.0816,0.5285
1775716035.160228,0.1225,0.5844,0.0516,0.5521
1775716035.514125,0.116,0.5307,0.0838,0.5736
1775716035.874274,0.101,0.1568,0.1117,0.1654
1775716036.234815,0.1074,0.1719,0.1074,0.1654
1775716036.595186,0.101,0.1826,0.1074,0.1977
1775716036.95535,0.101,0.1697,0.1117,0.1697
1775716037.315671,0.1074,0.1891,0.101,0.1955
1775716037.67604,0.1031,0.1697,0.1074,0.1697
1775716038.0363898,0.0988,0.1805,0.1053,0.2041
1775716038.3967319,0.1053,0.1719,0.1074,0.1676
1775716038.757086,0.1031,0.1826,0.1053,0.1977
1775716039.117142,0.1074,0.1826,0.101,0.1977
1775716039.4775229,0.0945,0.1977,0.1096,0.1676
1775716039.84229,0.0967,0.1977,0.1053,0.1697
1775716040.198501,0.101,0.1977,0.1031,0.1654
1775716040.559019,0.1246,0.5865,0.0279,0.5307
