timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775715764.260074,0.101,0.1719,0.1117,0.1611
1775715764.620811,0.0988,0.1697,0.1182,0.1697
1775715764.981267,0.1074,0.1762,0.1139,0.1762
1775715765.341932,0.1053,0.174,0.1117,0.1676
1775715765.702566,0.1074,0.1719,0.1074,0.1676
1775715766.063242,0.1053,0.1719,0.1117,0.1697
1775715766.424778,0.1031,0.1676,0.1139,0.1654
1775715766.7843788,0.1096,0.1697,0.1117,0.1654
1775715767.144961,0.1053,0.1697,0.1117,0.1934
1775715767.505611,0.1031,0.1654,0.1182,0.1955
1775715767.866328,0.1074,0.1654,0.1096,0.1912
1775715768.226767,0.101,0.1676,0.116,0.1934
1775715768.587321,0.1053,0.1676,0.1096,0.1912
1775715768.947955,0.1074,0.1611,0.1117,0.1955
1775715769.3086,0.1031,0.1654,0.116,0.1912
1775715769.6693382,0.1074,0.174,0.0967,0.159
1775715770.029397,0.2814,0.5328,0.0967,0.5328
1775715770.3890948,0.2492,0.5285,0.101,0.55
1775715770.749214,0.0924,0.4855,0.0602,0.5285
1775715771.10886,0.1117,0.4662,0.0838,0.5822
1775715771.46869,0.2707,0.5307,0.1031,0.5328
1775715771.828632,0.1482,0.5328,0.0945,0.5865
1775715772.188511,0.0945,0.4855,0.0645,0.5285
1775715772.5483148,0.1182,0.4898,0.0623,0.5865
1775715772.908064,0.2643,0.5414,0.0881,0.5307
1775715773.267877,0.1525,0.5307,0.0924,0.5887
1775715773.627854,0.0945,0.4727,0.0623,0.5285
1775715773.987726,0.116,0.4018,0.0816,0.5715
1775715774.3475,0.2277,0.5285,0.101,0.5607
1775715774.707283,0.1182,0.5779,0.0666,0.5564
1775715775.0672011,0.0988,0.4641,0.0645,0.5564
1775715775.4271622,0.1418,0.3824,0.0945,0.5586
1775715775.786879,0.2277,0.5307,0.0859,0.5629
1775715776.146683,0.1354,0.5844,0.0709,0.5285
1775715776.506529,0.0988,0.4619,0.0859,0.5822
1775715776.866484,0.2729,0.5801,0.0859,0.5285
1775715777.226327,0.159,0.5307,0.0902,0.5865
1775715777.58599,0.1289,0.5887,0.073,0.5285
1775715777.9459388,0.1031,0.4598,0.0838,0.5865
1775715778.305745,0.2857,0.5865,0.0752,0.5285
1775715778.665783,0.1676,0.5307,0.0924,0.5887
1775715779.025394,0.1332,0.5887,0.0752,0.5285
1775715779.3851688,0.0988,0.4684,0.073,0.5801
1775715779.745089,0.2664,0.5607,0.0752,0.5285
1775715780.104961,0.1439,0.5307,0.0838,0.5865
1775715780.4650948,0.0945,0.4619,0.3008,0.3932
1775715780.825238,0.1096,0.2041,0.101,0.1762
1775715781.185986,0.0988,0.1762,0.0988,0.1805
1775715781.546653,0.0988,0.1848,0.1074,0.1805
1775715781.908984,0.0988,0.1826,0.1053,0.1998
1775715782.2678258,0.101,0.1805,0.1031,0.1998
1775715782.6284502,0.1053,0.1826,0.0988,0.1998
1775715782.9891899,0.0945,0.1912,0.1053,0.1654
1775715783.350083,0.1031,0.1998,0.1117,0.1719
1775715783.710453,0.0967,0.1977,0.1096,0.1676
1775715784.0710511,0.0945,0.1977,0.1074,0.1654
1775715784.431651,0.0773,0.1934,0.1074,0.1633
1775715784.792338,0.1117,0.1654,0.1139,0.1676
1775715785.153009,0.101,0.1697,0.1096,0.174
1775715785.513473,0.1074,0.1762,0.1096,0.1654
1775715785.8741498,0.1096,0.1762,0.1096,0.1955
1775715786.2348568,0.1031,0.1805,0.1031,0.1998
1775715786.596297,0.1074,0.1826,0.1053,0.1697
1775715786.956077,0.1031,0.2063,0.1074,0.1676
1775715787.3168058,0.1031,0.1912,0.1096,0.1697
1775715787.677519,0.1031,0.1805,0.1074,0.1805
1775715788.0383859,0.101,0.1783,0.1139,0.1955
1775715788.398869,0.0988,0.1891,0.101,0.1719
1775715788.7595022,0.1031,0.202,0.1074,0.174
1775715789.120193,0.0988,0.1977,0.1053,0.1697
1775715789.480937,0.1074,0.1719,0.1031,0.1697
