timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775715660.4593978,0.101,0.1697,0.1031,0.1654
1775715660.819793,0.101,0.1611,0.1053,0.159
1775715661.180505,0.101,0.1934,0.101,0.1611
1775715661.5409322,0.101,0.1676,0.1053,0.1611
1775715661.901356,0.1053,0.1633,0.1117,0.1912
1775715662.261933,0.1031,0.1654,0.1117,0.1654
1775715662.622338,0.1074,0.1547,0.1074,0.159
1775715662.982739,0.0967,0.1869,0.1139,0.1633
1775715663.3432288,0.0988,0.1762,0.1117,0.1568
1775715663.7038279,0.101,0.1762,0.1053,0.1869
1775715664.064395,0.1096,0.1719,0.1074,0.1719
1775715664.4247968,0.101,0.1654,0.1096,0.1719
1775715664.7852201,0.1053,0.1934,0.1053,0.1611
1775715665.145781,0.101,0.1934,0.0967,0.1633
1775715665.506429,0.1074,0.174,0.1031,0.1805
1775715665.866624,0.3588,0.5285,0.073,0.5543
1775715666.2263901,0.1289,0.5779,0.0687,0.5521
1775715666.586404,0.0967,0.4533,0.0645,0.5607
1775715666.946296,0.1418,0.3932,0.0795,0.5457
1775715667.305949,0.1912,0.5285,0.0902,0.5822
1775715667.665835,0.1311,0.5887,0.0666,0.5285
1775715668.02581,0.1117,0.4684,0.0623,0.5865
1775715668.387349,0.2449,0.5328,0.0838,0.5328
1775715668.745416,0.1375,0.5543,0.0709,0.5779
1775715669.105483,0.0967,0.4598,0.0773,0.5672
1775715669.465319,0.2857,0.5887,0.0795,0.5285
1775715669.82884,0.2342,0.5307,0.0945,0.5436
1775715670.1849442,0.1311,0.5865,0.0838,0.5285
1775715670.544926,0.1096,0.4705,0.0666,0.5865
1775715670.904834,0.2514,0.5307,0.0967,0.5371
1775715671.2648199,0.1225,0.5715,0.0687,0.5586
1775715671.624465,0.0902,0.4598,0.0795,0.5629
1775715671.984339,0.3008,0.5693,0.0773,0.5285
1775715672.344248,0.1826,0.5328,0.0881,0.5865
1775715672.7041888,0.0924,0.4727,0.0623,0.5328
1775715673.0639539,0.1074,0.4898,0.0559,0.5844
1775715673.423733,0.2535,0.5307,0.0945,0.535
1775715673.783625,0.1289,0.5693,0.0623,0.5629
1775715674.143562,0.0988,0.4598,0.0752,0.565
1775715674.503407,0.2857,0.5973,0.0773,0.5285
1775715674.86328,0.1912,0.5307,0.101,0.5887
1775715675.2231848,0.1117,0.5414,0.0945,0.55
1775715675.583494,0.1074,0.2234,0.1074,0.2535
1775715675.94396,0.1031,0.2127,0.116,0.2234
1775715676.304256,0.1096,0.1805,0.1117,0.1633
1775715676.664902,0.101,0.1676,0.1139,0.1654
1775715677.0253608,0.0988,0.1848,0.0602,0.1955
1775715677.385699,0.101,0.1719,0.101,0.1934
1775715677.74628,0.101,0.1762,0.1053,0.1762
1775715678.106818,0.0945,0.1697,0.1031,0.1654
1775715678.467464,0.0881,0.1998,0.101,0.1697
1775715678.827896,0.1053,0.202,0.1031,0.1719
1775715679.188371,0.101,0.1654,0.1053,0.1719
1775715679.548874,0.101,0.1826,0.0752,0.1934
1775715679.909405,0.1074,0.174,0.1096,0.1998
1775715680.269894,0.1096,0.174,0.1053,0.1783
1775715680.6303701,0.1053,0.174,0.1031,0.1805
1775715680.990911,0.1074,0.1719,0.1053,0.1697
1775715681.351455,0.0967,0.1998,0.1074,0.1783
1775715681.711926,0.101,0.1848,0.1053,0.1719
1775715682.0723982,0.1031,0.1762,0.1031,0.1998
1775715682.4328902,0.1031,0.1783,0.1053,0.1762
1775715682.7934349,0.1031,0.1719,0.1096,0.1783
1775715683.15392,0.1074,0.1955,0.1074,0.1719
1775715683.514333,0.101,0.1998,0.1053,0.1697
1775715683.874959,0.0988,0.1826,0.1053,0.174
1775715684.235529,0.0988,0.1697,0.1031,0.1977
1775715684.595915,0.1031,0.1719,0.1074,0.1762
1775715684.9564679,0.0988,0.174,0.1096,0.174
1775715685.316961,0.1053,0.1676,0.1053,0.1633
1775715685.677334,0.101,0.1934,0.1053,0.1697
