timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→0)
1775715955.2060711,0.1117,0.174,0.1074,0.174
1775715955.5664299,0.0924,0.1998,0.1139,0.1676
1775715955.93269,0.0967,0.1891,0.1074,0.1633
1775715956.287626,0.0945,0.1977,0.1074,0.1654
1775715956.648003,0.0967,0.1826,0.1031,0.1912
1775715957.008641,0.0967,0.1826,0.101,0.174
1775715957.3691468,0.0902,0.1719,0.101,0.1633
1775715957.7296178,0.0924,0.1891,0.1031,0.1676
1775715958.0900748,0.1031,0.2084,0.1031,0.1676
1775715958.450797,0.101,0.2063,0.1031,0.1676
1775715958.8111129,0.1031,0.2063,0.101,0.1633
1775715959.1719198,0.1031,0.2084,0.101,0.1633
1775715959.5324318,0.1053,0.2063,0.1074,0.1676
1775715959.893002,0.101,0.2041,0.1053,0.1676
1775715960.2534132,0.4061,0.5285,0.0924,0.5887
1775715960.613133,0.2879,0.5887,0.058,0.5521
1775715960.972565,0.2535,0.5715,0.0687,0.5543
1775715961.3323169,0.2707,0.5865,0.0709,0.55
1775715961.6916878,0.2385,0.5779,0.0666,0.5479
1775715962.051475,0.2406,0.5887,0.0602,0.5285
1775715962.410968,0.2084,0.5844,0.0645,0.5328
1775715962.770734,0.2084,0.5844,0.058,0.5307
1775715963.130305,0.2707,0.5844,0.0645,0.535
1775715963.489835,0.1869,0.5822,0.0602,0.5328
1775715963.8492951,0.2063,0.5865,0.0645,0.5285
1775715964.209048,0.1461,0.5672,0.0838,0.5285
1775715964.568598,0.1848,0.5865,0.058,0.5307
1775715964.928242,0.1977,0.5844,0.0709,0.5285
1775715965.287724,0.1268,0.5672,0.0752,0.5285
1775715965.647292,0.1289,0.5629,0.0752,0.5285
1775715966.006971,0.073,0.477,0.0559,0.5371
1775715966.366751,0.0902,0.4576,0.0645,0.5586
1775715966.72621,0.0559,0.4727,0.0687,0.5521
1775715967.085695,0.1031,0.4555,0.0795,0.5564
1775715967.445399,0.1117,0.4684,0.0795,0.5779
1775715967.805071,0.0988,0.4555,0.0623,0.5844
1775715968.1647308,0.1139,0.4619,0.0687,0.5865
1775715968.524246,0.1053,0.449,0.0645,0.5865
1775715968.883786,0.0988,0.4598,0.058,0.5865
1775715969.243444,0.2406,0.3803,0.0559,0.5844
1775715969.603035,0.1891,0.4039,0.0494,0.5822
1775715969.96266,0.2771,0.376,0.073,0.5822
1775715970.322134,0.2234,0.4104,0.0773,0.5865
1775715970.6818528,0.1053,0.4877,0.0924,0.5844
1775715971.041472,0.2492,0.4082,0.0816,0.5844
1775715971.401984,0.1053,0.5822,0.0838,0.5521
1775715971.760756,0.116,0.5564,0.058,0.5543
1775715972.120991,0.1096,0.1848,0.0945,0.2191
1775715972.4814248,0.0967,0.2234,0.1053,0.1869
1775715972.8418062,0.1074,0.1912,0.1074,0.217
1775715973.2020218,0.1053,0.1826,0.1074,0.1762
1775715973.5624661,0.101,0.202,0.1074,0.1805
1775715973.9228249,0.1053,0.1934,0.1117,0.1912
1775715974.2832692,0.1031,0.2148,0.1031,0.1762
1775715974.643666,0.1031,0.1977,0.1074,0.2063
1775715975.003907,0.1031,0.1891,0.1096,0.1869
1775715975.3643122,0.101,0.1977,0.1074,0.1719
1775715975.724736,0.1074,0.1869,0.1074,0.1826
1775715976.085143,0.101,0.2127,0.1053,0.1762
1775715976.445484,0.101,0.1826,0.1053,0.202
1775715976.805803,0.1053,0.1805,0.1096,0.174
1775715977.166351,0.0967,0.1869,0.1053,0.1697
1775715977.526983,0.1031,0.1826,0.1053,0.174
1775715977.886991,0.1053,0.2063,0.1053,0.1697
1775715978.2473118,0.0967,0.1762,0.1053,0.1998
1775715978.6076748,0.0945,0.202,0.1053,0.1676
1775715978.968126,0.1053,0.1891,0.0924,0.1912
1775715979.331167,0.1053,0.1783,0.1074,0.1783
1775715979.688892,0.101,0.2041,0.1031,0.1697
1775715980.049254,0.1031,0.1762,0.1074,0.1977
1775715980.409647,0.0967,0.2041,0.1053,0.1676
