step,time_s,T_rec_C,EC_mS_cm,C_est_pct,C_target_pct,error_pct,salt_step_g,salt_cumulative_g,alpha_hat,beta_hat,control_mode
1,7.1,48.650,6.2400,0.5010,1.00,-0.4990,0.5000,0.5000,8.101300,4.194950,STR
2,53.5,48.210,7.2200,0.5862,1.00,-0.4138,0.5000,1.0000,8.278179,4.204584,STR
3,99.4,48.280,8.2000,0.6677,1.00,-0.3323,0.5000,1.5000,8.189572,4.205401,STR
4,188.9,50.150,9.3200,0.7422,1.00,-0.2578,0.5000,2.0000,7.916259,4.217969,STR
5,239.4,49.500,10.8900,0.8782,1.00,-0.1218,0.5000,2.5000,8.847272,4.145137,STR
6,280.8,49.060,12.0700,0.9813,1.00,-0.0187,0.1220,2.6220,9.298173,4.096268,STR
7,342.8,48.240,12.3900,1.0193,1.00,0.0193,0.0000,2.6220,9.584214,4.062676,STR
8,350.5,48.170,12.3500,1.0169,1.00,0.0169,0.0000,2.6220,9.702297,4.048809,STR
9,355.2,48.070,12.3200,1.0158,1.00,0.0158,0.0000,2.6220,9.764864,4.041461,STR
10,361.0,47.870,112.2900,9.4395,1.00,8.4395,0.0000,2.6220,46.568316,-0.280622,STR
11,365.7,47.830,12.2800,1.0158,1.00,0.0158,0.0000,2.6220,41.202916,0.349474,STR
12,370.2,47.800,12.3400,1.0213,1.00,0.0213,0.0000,2.6220,37.231210,0.815899,STR
13,374.4,47.800,12.3600,1.0230,1.00,0.0230,0.0000,2.6220,34.164884,1.175999,STR
14,377.5,47.830,12.4500,1.0302,1.00,0.0302,0.0000,2.6220,31.739708,1.460804,STR
15,381.7,47.870,12.4600,1.0304,1.00,0.0304,0.0000,2.6220,29.761748,1.693089,STR
16,386.8,47.830,12.5200,1.0361,1.00,0.0361,0.0000,2.6220,28.132677,1.884402,STR
17,391.1,47.830,12.5000,1.0344,1.00,0.0344,0.0000,2.6220,26.754522,2.046249,STR
18,397.4,47.800,12.5000,1.0348,1.00,0.0348,0.0000,2.6220,25.577576,2.184466,STR
19,401.5,47.760,12.5500,1.0396,1.00,0.0396,0.0000,2.6220,24.568634,2.302953,STR
20,405.9,47.800,12.5500,1.0390,1.00,0.0390,0.0000,2.6220,23.685251,2.406694,STR
21,413.4,47.660,12.5200,1.0385,1.00,0.0385,0.0000,2.6220,22.908920,2.497864,STR
22,421.2,47.590,12.5200,1.0395,1.00,0.0395,0.0000,2.6220,22.222086,2.578524,STR
23,424.6,47.490,12.5200,1.0410,1.00,0.0410,0.0000,2.6220,21.611401,2.650241,STR
24,429.9,47.250,12.5300,1.0453,1.00,0.0453,0.0000,2.6220,21.070811,2.713726,STR
