timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776649516.675904,0.0687,0.0709,0.073,0.0816,0.0838,0.073,0.0795,0.0687
1776649517.049145,0.073,0.0687,0.0773,0.0859,0.0838,0.073,0.0773,0.0687
1776649517.422456,0.0687,0.0687,0.073,0.0838,0.0838,0.073,0.0816,0.0709
1776649517.7957609,0.0709,0.0687,0.0752,0.0859,0.0838,0.0752,0.0795,0.0666
1776649518.169076,0.0687,0.0687,0.073,0.0838,0.0838,0.073,0.0795,0.0666
1776649518.542293,0.0709,0.0666,0.0752,0.0859,0.0838,0.0752,0.0795,0.0666
1776649518.915633,0.0709,0.0709,0.0752,0.0838,0.0859,0.073,0.0795,0.0666
1776649519.288961,0.0709,0.0709,0.0752,0.0838,0.0816,0.0752,0.0795,0.0687
1776649519.662115,0.073,0.0687,0.073,0.0816,0.0859,0.073,0.0795,0.0666
1776649520.035454,0.073,0.0687,0.073,0.0838,0.0816,0.073,0.0795,0.0687
1776649520.408643,0.073,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649520.78196,0.0687,0.0666,0.073,0.0838,0.0838,0.073,0.0795,0.0666
1776649521.155205,0.0709,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649521.5285661,0.0709,0.0709,0.0752,0.0838,0.0859,0.0752,0.0795,0.0666
1776649521.904555,0.0687,0.0687,0.073,0.0816,0.0838,0.073,0.0795,0.0709
1776649522.27507,0.0709,0.0666,0.0795,0.0881,0.0838,0.073,0.0773,0.0666
1776649522.648439,0.0687,0.0666,0.073,0.0838,0.0838,0.073,0.0795,0.0666
1776649523.021748,0.0709,0.0666,0.0752,0.0859,0.0838,0.0752,0.0773,0.0666
1776649523.394882,0.0687,0.0687,0.0752,0.0838,0.0859,0.073,0.0795,0.0666
1776649523.768223,0.0709,0.0709,0.073,0.0838,0.0816,0.0752,0.0795,0.0687
1776649524.141539,0.0709,0.0709,0.0773,0.0838,0.0838,0.073,0.0773,0.0687
1776649524.514815,0.0709,0.0666,0.073,0.0838,0.0838,0.073,0.0795,0.0687
1776649524.88803,0.0687,0.0666,0.0773,0.0859,0.0838,0.0752,0.0773,0.0666
1776649525.26144,0.0709,0.0687,0.073,0.0838,0.0859,0.073,0.0795,0.0666
1776649525.634743,0.0709,0.0687,0.0752,0.0816,0.0816,0.0752,0.0795,0.0709
1776649526.007911,0.0709,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0687
1776649526.3811579,0.0709,0.0687,0.073,0.0838,0.0838,0.073,0.0795,0.0687
1776649526.754535,0.0709,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649527.127768,0.0687,0.0709,0.073,0.0838,0.0859,0.073,0.0795,0.0645
1776649527.501055,0.0687,0.0709,0.073,0.0816,0.0816,0.073,0.0795,0.0709
1776649527.874368,0.073,0.0687,0.0752,0.0859,0.0838,0.073,0.0773,0.0687
1776649528.2476218,0.0687,0.0666,0.073,0.0838,0.0838,0.073,0.0773,0.0666
1776649528.6209338,0.0687,0.0666,0.0752,0.0838,0.0838,0.0752,0.0773,0.0666
1776649528.994142,0.0752,0.0666,0.073,0.0838,0.0838,0.073,0.0773,0.0666
1776649529.367527,0.0687,0.0687,0.073,0.0816,0.0816,0.073,0.0795,0.0687
1776649529.7408,0.0709,0.0645,0.0773,0.0881,0.0816,0.073,0.0773,0.0666
1776649530.114038,0.0709,0.0687,0.0752,0.0838,0.0859,0.073,0.0795,0.0666
1776649530.487371,0.0687,0.0709,0.0752,0.0816,0.0816,0.0752,0.0773,0.0687
1776649530.860739,0.0709,0.0687,0.0773,0.0859,0.0838,0.073,0.0773,0.0666
1776649531.233877,0.0709,0.0687,0.073,0.0838,0.0859,0.073,0.0795,0.0666
1776649531.60716,0.0687,0.0687,0.073,0.0816,0.0816,0.0752,0.0795,0.0687
1776649531.980577,0.073,0.0666,0.0773,0.0881,0.0838,0.073,0.0773,0.0666
1776649532.353877,0.0709,0.0687,0.073,0.0838,0.0859,0.073,0.0795,0.0666
1776649532.727032,0.0709,0.0666,0.073,0.0816,0.0816,0.0752,0.0773,0.0666
1776649533.100418,0.0709,0.0687,0.0752,0.0838,0.0838,0.073,0.0773,0.0687
1776649533.477103,0.0687,0.0687,0.073,0.0838,0.0838,0.073,0.0795,0.0709
1776649533.8468769,0.0709,0.0687,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649534.220282,0.0709,0.0687,0.073,0.0816,0.0859,0.073,0.0773,0.0666
1776649534.593607,0.0687,0.0709,0.073,0.0816,0.0816,0.073,0.0795,0.0709
1776649534.966773,0.073,0.0687,0.0752,0.0859,0.0816,0.0752,0.0773,0.0666
1776649535.3401191,0.0687,0.0687,0.073,0.0816,0.0838,0.0709,0.0773,0.0666
1776649535.713423,0.0687,0.0687,0.0752,0.0838,0.0816,0.0752,0.0773,0.0666
1776649536.086706,0.0709,0.0666,0.073,0.0816,0.0838,0.073,0.0773,0.0666
1776649536.4599118,0.0687,0.0666,0.073,0.0838,0.0838,0.073,0.0795,0.0666
1776649536.833288,0.0709,0.0666,0.0752,0.0838,0.0838,0.0752,0.0773,0.0645
1776649537.206656,0.073,0.0687,0.073,0.0816,0.0859,0.073,0.0773,0.0666
1776649537.579818,0.0687,0.0666,0.073,0.0838,0.0816,0.073,0.0795,0.0687
1776649537.9531279,0.0687,0.0666,0.0752,0.0838,0.0816,0.073,0.0773,0.0645
1776649538.326388,0.0709,0.0709,0.0752,0.0838,0.0838,0.073,0.0773,0.0666
1776649538.6998122,0.0687,0.0687,0.073,0.0816,0.0838,0.0709,0.0773,0.0666
1776649539.072961,0.0687,0.0687,0.073,0.0838,0.0816,0.0752,0.0773,0.0666
1776649539.4463732,0.0709,0.0687,0.0752,0.0838,0.0838,0.073,0.0773,0.0687
1776649539.819687,0.0687,0.0666,0.073,0.0838,0.0838,0.073,0.0773,0.0645
1776649540.192868,0.0687,0.0709,0.073,0.0838,0.0816,0.0752,0.0773,0.0666
1776649540.566207,0.073,0.0666,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649540.939575,0.0709,0.0687,0.073,0.0816,0.0838,0.073,0.0773,0.0666
1776649541.312806,0.0687,0.0709,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649541.686008,0.073,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0687
1776649542.0593998,0.0687,0.0666,0.073,0.0838,0.0816,0.073,0.0795,0.0687
1776649542.432739,0.0709,0.0666,0.0773,0.0859,0.0816,0.073,0.0773,0.0666
1776649542.805917,0.0687,0.0666,0.073,0.0838,0.0859,0.073,0.0773,0.0645
1776649543.179262,0.0687,0.0666,0.073,0.0816,0.0816,0.073,0.0795,0.0666
1776649543.552605,0.0709,0.0687,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649543.925896,0.0709,0.0666,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649544.299107,0.0687,0.0687,0.073,0.0816,0.0816,0.0709,0.0795,0.0666
1776649544.6724439,0.0687,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649545.045845,0.073,0.0666,0.0752,0.0816,0.0838,0.073,0.0773,0.0666
1776649545.419009,0.0709,0.0687,0.073,0.0816,0.0838,0.0709,0.0773,0.0645
1776649545.792335,0.0709,0.0666,0.0752,0.0838,0.0816,0.0752,0.0773,0.0645
1776649546.1656709,0.0709,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649546.538955,0.0687,0.0687,0.073,0.0838,0.0816,0.073,0.0795,0.0666
1776649546.9121768,0.0687,0.0687,0.0752,0.0838,0.0816,0.0752,0.0773,0.0645
1776649547.285533,0.0709,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0687
1776649547.6588721,0.0687,0.0666,0.073,0.0816,0.0838,0.0709,0.0773,0.0645
1776649548.032114,0.0687,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649548.405386,0.0709,0.0666,0.0752,0.0859,0.0816,0.073,0.0773,0.0666
1776649548.7787929,0.0687,0.0687,0.0752,0.0816,0.0859,0.073,0.0773,0.0645
1776649549.152051,0.0687,0.0687,0.073,0.0816,0.0816,0.073,0.0795,0.0687
1776649549.5252612,0.073,0.0666,0.0773,0.0859,0.0816,0.073,0.0773,0.0645
1776649549.8986518,0.0709,0.0709,0.073,0.0816,0.0838,0.0752,0.0773,0.0645
1776649550.2719822,0.0709,0.0709,0.073,0.0816,0.0816,0.073,0.0795,0.0666
1776649550.645183,0.0687,0.0687,0.0773,0.0859,0.0816,0.073,0.0773,0.0645
1776649551.018525,0.073,0.0666,0.073,0.0816,0.0838,0.073,0.0773,0.0666
1776649551.391865,0.0709,0.0687,0.0752,0.0816,0.0816,0.073,0.0795,0.0687
1776649551.765907,0.0709,0.0687,0.0752,0.0838,0.0816,0.0752,0.0773,0.0666
1776649552.138342,0.073,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0666
1776649552.511749,0.0687,0.0687,0.073,0.0816,0.0838,0.0709,0.0773,0.0645
1776649552.8849761,0.0687,0.0709,0.0752,0.0816,0.0838,0.073,0.0773,0.0666
1776649553.258796,0.0709,0.0687,0.0752,0.0838,0.0816,0.073,0.0773,0.0687
