timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776408385.3751,0.0516,0.0516,0.0494,0.0473,0.0537,0.0537,0.0494,0.0516
1776408385.748686,0.0516,0.0494,0.0494,0.0494,0.0473,0.0516,0.0516,0.0537
1776408386.122325,0.0516,0.0494,0.0494,0.0494,0.0473,0.0537,0.0494,0.0537
1776408386.4958022,0.0516,0.0494,0.0494,0.0494,0.0473,0.0494,0.0516,0.0516
1776408386.8692899,0.0537,0.0473,0.0494,0.0537,0.0473,0.0537,0.0516,0.0559
1776408387.2429729,0.0559,0.0494,0.0473,0.0516,0.0516,0.0473,0.0494,0.0559
1776408387.616628,0.0537,0.0559,0.0473,0.0473,0.0494,0.0451,0.0494,0.0537
1776408387.9900548,0.0516,0.0494,0.0494,0.0494,0.0451,0.0494,0.0494,0.0559
1776408388.363698,0.0516,0.0494,0.0494,0.0516,0.0473,0.0537,0.0494,0.0516
1776408388.73729,0.0516,0.0473,0.0494,0.0473,0.0451,0.0494,0.0494,0.0537
1776408389.1107578,0.0537,0.0516,0.0473,0.0537,0.0516,0.0494,0.0516,0.058
1776408389.4843452,0.0516,0.0537,0.0494,0.0516,0.0451,0.0473,0.0494,0.0537
1776408389.858009,0.0516,0.0494,0.0473,0.0516,0.0451,0.0537,0.0494,0.0537
1776408390.2315269,0.0516,0.0473,0.0516,0.0473,0.0473,0.0537,0.0494,0.0516
1776408390.605089,0.0516,0.0516,0.0516,0.0473,0.0494,0.0516,0.0494,0.0516
1776408390.97866,0.0494,0.0516,0.0537,0.0451,0.0494,0.0516,0.0473,0.0537
1776408391.352232,0.0516,0.0494,0.0473,0.0451,0.0516,0.0537,0.0494,0.0537
1776408391.72576,0.0516,0.0494,0.0473,0.0473,0.0516,0.0494,0.0494,0.0537
1776408392.09934,0.0494,0.0516,0.0494,0.0494,0.0473,0.0537,0.0494,0.0516
1776408392.4729228,0.0537,0.0473,0.0516,0.0494,0.0451,0.0473,0.0537,0.0559
1776408392.8464231,0.0559,0.0473,0.0473,0.0516,0.0473,0.0473,0.0473,0.0559
1776408393.219917,0.0516,0.0494,0.0451,0.0494,0.0494,0.0516,0.0473,0.0537
1776408393.5935302,0.0559,0.0516,0.0473,0.0516,0.0473,0.0451,0.0494,0.0602
1776408393.9671922,0.0559,0.0494,0.0473,0.0516,0.0451,0.0473,0.0516,0.0559
1776408394.340653,0.0516,0.0473,0.0473,0.0494,0.0516,0.0516,0.0516,0.0516
1776408394.7142441,0.0516,0.0473,0.0494,0.0516,0.0473,0.0494,0.0516,0.0516
1776408395.0878541,0.0537,0.0537,0.0473,0.0473,0.0473,0.0537,0.0494,0.0516
1776408395.461534,0.0494,0.0494,0.0494,0.0494,0.0516,0.0473,0.0494,0.0537
1776408395.8349178,0.0516,0.0516,0.0494,0.0473,0.0516,0.0516,0.0494,0.0516
1776408396.208569,0.0537,0.0494,0.0494,0.0494,0.0516,0.0494,0.0473,0.0516
1776408396.582119,0.0494,0.0516,0.0537,0.0473,0.0516,0.0494,0.0473,0.0516
1776408396.955573,0.0516,0.0494,0.0473,0.0451,0.0516,0.0537,0.0516,0.0537
1776408397.329294,0.0516,0.0494,0.0516,0.0494,0.0473,0.0494,0.0559,0.0516
1776408397.702879,0.0516,0.0494,0.0473,0.0494,0.0516,0.0451,0.0537,0.0516
1776408398.076481,0.0537,0.0494,0.0473,0.0494,0.0516,0.0451,0.0559,0.0537
1776408398.449916,0.0537,0.0494,0.0494,0.0494,0.0494,0.0473,0.0537,0.0516
1776408398.82353,0.0537,0.0494,0.0473,0.0494,0.0516,0.0451,0.0559,0.0537
1776408399.1971278,0.0516,0.0494,0.0494,0.0537,0.0473,0.0451,0.058,0.0537
1776408399.570665,0.0516,0.0494,0.0494,0.0516,0.0473,0.0451,0.0537,0.0516
1776408399.94414,0.0516,0.0494,0.0537,0.0473,0.0473,0.0494,0.0559,0.0516
1776408400.317777,0.0516,0.0494,0.0516,0.0473,0.0494,0.0473,0.0537,0.0559
1776408400.6914072,0.0537,0.0494,0.0516,0.0473,0.0494,0.0494,0.058,0.0516
1776408401.0648792,0.0537,0.0494,0.0537,0.0516,0.0473,0.0451,0.0559,0.0537
1776408401.4383628,0.0516,0.0494,0.0494,0.0451,0.0516,0.0473,0.0494,0.0516
1776408401.8120031,0.0537,0.0494,0.0473,0.0473,0.0516,0.0494,0.0494,0.0559
1776408402.185626,0.0516,0.0516,0.0451,0.0473,0.0516,0.0473,0.0494,0.0537
1776408402.5590641,0.0516,0.0516,0.0473,0.0473,0.0516,0.0516,0.0494,0.0537
1776408402.9325151,0.0494,0.0473,0.0494,0.0494,0.0473,0.0494,0.0494,0.0537
1776408403.306164,0.0537,0.0473,0.0494,0.0494,0.0494,0.0473,0.0516,0.058
1776408403.6798599,0.0516,0.0494,0.0473,0.0516,0.0494,0.0494,0.0494,0.0537
1776408404.053236,0.0537,0.0473,0.0494,0.0494,0.0516,0.0473,0.0494,0.0559
1776408404.4268641,0.0516,0.0494,0.0473,0.0537,0.0494,0.0494,0.0494,0.0559
1776408404.8004339,0.058,0.0494,0.0473,0.0494,0.0516,0.0451,0.0494,0.058
1776408405.174082,0.0537,0.0516,0.0473,0.0494,0.0516,0.0473,0.0473,0.0559
1776408405.547499,0.058,0.0537,0.0494,0.0473,0.0494,0.0473,0.0473,0.058
1776408405.920974,0.0516,0.0537,0.0516,0.0473,0.0537,0.0473,0.0494,0.0516
1776408406.294662,0.0494,0.0516,0.0494,0.0494,0.0473,0.0494,0.0559,0.0537
1776408406.674083,0.0559,0.0516,0.0473,0.0473,0.0473,0.0494,0.0494,0.0559
1776408407.041703,0.0537,0.0494,0.0516,0.0451,0.0494,0.0473,0.0516,0.0516
1776408407.415238,0.0516,0.0494,0.0494,0.0473,0.0516,0.0473,0.0516,0.0537
1776408407.788935,0.0516,0.0537,0.0473,0.0451,0.0516,0.0473,0.0494,0.0559
1776408408.16242,0.0516,0.0516,0.0494,0.0451,0.0494,0.0516,0.0516,0.0559
1776408408.5359921,0.0516,0.0494,0.0516,0.0494,0.0494,0.0494,0.0516,0.0516
1776408408.909591,0.0494,0.0516,0.0516,0.0494,0.0473,0.0537,0.0602,0.0516
1776408409.283148,0.0516,0.0537,0.0516,0.0451,0.0473,0.0473,0.0559,0.0537
1776408409.656557,0.0494,0.0494,0.0494,0.0494,0.0473,0.0494,0.0559,0.0516
1776408410.030209,0.0516,0.0494,0.0473,0.0473,0.0537,0.0473,0.0537,0.0537
1776408410.403816,0.0516,0.0494,0.0494,0.0494,0.0494,0.0451,0.0559,0.0537
1776408410.777225,0.0516,0.0516,0.0451,0.0494,0.0494,0.0473,0.0516,0.0537
1776408411.150888,0.0537,0.0494,0.0473,0.0473,0.0494,0.0494,0.0537,0.0537
1776408411.52448,0.0516,0.0473,0.0473,0.0473,0.0516,0.0451,0.0537,0.0537
1776408411.898101,0.0537,0.0494,0.0473,0.0494,0.0516,0.0473,0.0516,0.0559
1776408412.271518,0.0516,0.0537,0.0473,0.0494,0.0516,0.0473,0.0494,0.0537
1776408412.6451,0.0516,0.0516,0.0494,0.0494,0.0559,0.0537,0.0494,0.0537
1776408413.0186229,0.0516,0.0516,0.0537,0.0473,0.0473,0.0537,0.0494,0.0516
1776408413.392312,0.0494,0.0537,0.0537,0.0451,0.0516,0.0494,0.0516,0.0559
1776408413.765733,0.0516,0.0537,0.0494,0.0451,0.0559,0.0516,0.0473,0.0516
1776408414.139334,0.0494,0.0516,0.0494,0.0473,0.0516,0.0537,0.0494,0.0516
1776408414.512938,0.0516,0.0494,0.0494,0.0473,0.0494,0.0516,0.0473,0.0516
1776408414.886987,0.0516,0.0516,0.0451,0.0473,0.0516,0.0494,0.0494,0.0516
1776408415.259952,0.0516,0.0537,0.0516,0.0473,0.0494,0.0559,0.0494,0.0537
1776408415.633513,0.0516,0.0494,0.0494,0.0473,0.0494,0.0494,0.0473,0.0516
1776408416.007204,0.0494,0.0516,0.0473,0.0473,0.0516,0.0516,0.0473,0.0516
1776408416.380681,0.0516,0.0494,0.0473,0.0494,0.0537,0.0494,0.0494,0.0559
1776408416.754316,0.0537,0.0494,0.0473,0.0451,0.0537,0.0473,0.0516,0.0537
1776408417.127918,0.0537,0.0494,0.0473,0.0516,0.0473,0.0451,0.0516,0.0537
1776408417.5014908,0.0559,0.0494,0.0473,0.0494,0.0516,0.0451,0.0494,0.0559
1776408417.87488,0.0516,0.0537,0.0494,0.0451,0.0516,0.0516,0.0494,0.0516
1776408418.248506,0.0516,0.0516,0.0494,0.0494,0.0473,0.0559,0.0494,0.0516
1776408418.622174,0.0494,0.0494,0.0494,0.0451,0.0537,0.0516,0.0473,0.0516
