timestamp,Ch1 (0→1),Ch2 (1→2),Ch3 (2→3),Ch4 (3→4),Ch5 (4→5),Ch6 (5→6),Ch7 (6→7),Ch8 (7→0)
1776300229.425487,0.3051,0.1396,0.2299,0.1268,0.1074,0.1117,0.1719,0.1611
1776300229.798671,0.3588,0.2084,0.2578,0.1332,0.0967,0.1031,0.1676,0.1311
1776300230.171993,0.3416,0.1826,0.2492,0.1268,0.1031,0.1289,0.1354,0.1547
1776300230.5450659,0.1311,0.1869,0.2471,0.1396,0.1053,0.1139,0.1654,0.1482
1776300230.918278,0.2621,0.2148,0.1504,0.1225,0.0967,0.0967,0.1891,0.1289
1776300231.291565,0.3437,0.1719,0.1719,0.1311,0.1096,0.1117,0.1783,0.1504
1776300231.6648178,0.2514,0.2234,0.2471,0.1289,0.1031,0.0924,0.1783,0.1268
1776300232.0379179,0.3545,0.2063,0.2234,0.1311,0.0967,0.1268,0.1139,0.174
1776300232.411638,0.159,0.1268,0.2471,0.1311,0.1117,0.1182,0.1654,0.1396
1776300232.784346,0.174,0.2127,0.2063,0.1332,0.101,0.0967,0.1826,0.1182
1776300233.1576,0.348,0.1912,0.1332,0.1396,0.1053,0.1117,0.1826,0.1461
1776300233.530674,0.1891,0.1719,0.2385,0.1311,0.1117,0.1031,0.1697,0.1375
1776300233.903929,0.3545,0.2041,0.2535,0.1332,0.0967,0.1139,0.1418,0.1439
1776300234.277163,0.29,0.1418,0.2363,0.1246,0.1074,0.1203,0.1268,0.1525
1776300234.650356,0.2105,0.2127,0.2535,0.1525,0.0988,0.0988,0.1762,0.1482
1776300235.023477,0.3566,0.2191,0.1117,0.1375,0.0945,0.1031,0.1826,0.159
1776300235.396679,0.3201,0.1311,0.2084,0.1268,0.1096,0.1096,0.1697,0.1547
1776300235.769999,0.3545,0.2105,0.2514,0.1311,0.0967,0.101,0.1783,0.1332
1776300236.143232,0.3416,0.1891,0.2449,0.1246,0.101,0.1289,0.1375,0.1547
1776300236.516363,0.1504,0.2063,0.2449,0.1375,0.1031,0.1117,0.1654,0.1482
1776300236.88946,0.202,0.2127,0.1568,0.1203,0.101,0.0967,0.1848,0.1246
1776300237.262756,0.3416,0.1654,0.1482,0.1311,0.1074,0.1096,0.1783,0.1461
1776300237.635979,0.1977,0.2256,0.2406,0.1332,0.1031,0.0924,0.174,0.116
1776300238.009035,0.3523,0.2041,0.2277,0.1311,0.0967,0.1225,0.1225,0.1676
1776300238.382197,0.2234,0.1117,0.2363,0.1246,0.1117,0.1096,0.1332,0.1439
1776300238.755532,0.1654,0.2127,0.2449,0.1396,0.101,0.0988,0.1805,0.1289
1776300239.1288068,0.3502,0.2213,0.1461,0.1354,0.101,0.1074,0.1762,0.1482
1776300239.501884,0.2814,0.1762,0.2363,0.1268,0.1053,0.1031,0.1676,0.1654
1776300239.875019,0.3523,0.2041,0.2578,0.1311,0.0967,0.1096,0.1525,0.1418
1776300240.248323,0.3029,0.1525,0.2363,0.1246,0.1053,0.1225,0.1354,0.1525
1776300240.621613,0.1783,0.217,0.2471,0.1439,0.101,0.0988,0.1697,0.1504
1776300240.994684,0.2965,0.2148,0.1139,0.1246,0.0924,0.0988,0.1848,0.1396
1776300241.3678489,0.3416,0.1482,0.1977,0.1268,0.1074,0.1096,0.1697,0.1525
1776300241.741152,0.3545,0.2148,0.2492,0.1289,0.101,0.0967,0.1826,0.1482
1776300242.114379,0.348,0.2063,0.2256,0.1289,0.0967,0.1268,0.1246,0.1633
1776300242.487527,0.1461,0.1396,0.2406,0.1311,0.1096,0.1225,0.1633,0.1396
1776300242.8606222,0.1912,0.2127,0.1762,0.1289,0.0988,0.0945,0.1826,0.116
1776300243.233919,0.3437,0.1783,0.1203,0.1332,0.1031,0.1096,0.1805,0.1461
1776300243.607167,0.1719,0.1826,0.2363,0.1311,0.1096,0.101,0.1676,0.1246
1776300243.9802969,0.3502,0.202,0.2428,0.1332,0.0945,0.1182,0.1268,0.1418
1776300244.353419,0.2557,0.1354,0.2428,0.1225,0.1096,0.1139,0.1354,0.1439
1776300244.72669,0.2105,0.2105,0.2514,0.1525,0.0988,0.0967,0.1762,0.1354
1776300245.0999281,0.3545,0.2191,0.1096,0.1396,0.0945,0.101,0.1805,0.1525
1776300245.4753642,0.2879,0.174,0.2363,0.1246,0.1074,0.1031,0.1676,0.1633
1776300245.846265,0.3523,0.2063,0.2578,0.1354,0.0967,0.1074,0.1504,0.1182
1776300246.219479,0.2986,0.1633,0.2471,0.1246,0.1053,0.1225,0.1375,0.1504
1776300246.5926971,0.1805,0.2127,0.2471,0.1461,0.101,0.101,0.1697,0.1482
1776300246.965933,0.3437,0.217,0.116,0.1354,0.0902,0.0988,0.1783,0.1568
1776300247.33902,0.3266,0.1568,0.2363,0.1268,0.1096,0.1074,0.1676,0.1547
1776300247.7122939,0.3523,0.2084,0.2514,0.1311,0.0988,0.1031,0.1762,0.1332
1776300248.085511,0.3416,0.1869,0.232,0.1225,0.0988,0.1289,0.1225,0.1547
1776300248.462155,0.1332,0.1826,0.2406,0.1332,0.1031,0.1182,0.1611,0.1461
1776300248.8318021,0.2535,0.2127,0.1547,0.1289,0.0967,0.0924,0.1826,0.1289
1776300249.205086,0.3395,0.1676,0.1461,0.1311,0.1053,0.1096,0.1762,0.1461
1776300249.57835,0.1998,0.2234,0.2406,0.1311,0.1031,0.0902,0.174,0.1031
1776300249.957669,0.348,0.2041,0.2277,0.1311,0.0945,0.1289,0.1182,0.1719
1776300250.324608,0.174,0.1182,0.2492,0.1246,0.1139,0.1096,0.1461,0.1418
1776300250.6978822,0.159,0.2105,0.2148,0.1375,0.101,0.0967,0.1783,0.1268
1776300251.07099,0.3437,0.2041,0.1418,0.1311,0.1031,0.1096,0.1762,0.1461
1776300251.4538372,0.1848,0.1762,0.2342,0.1289,0.1074,0.0988,0.1654,0.1311
1776300251.817384,0.348,0.202,0.2514,0.1311,0.0924,0.116,0.1375,0.1547
1776300252.1906612,0.2621,0.1354,0.2299,0.1203,0.1096,0.1117,0.1268,0.1482
